Site,Year,Month,Day,Hour,Value,Unit
Beijing,2014,4,8,18,151,mcg/m^3
Beijing,2014,4,8,19,146,mcg/m^3
Beijing,2014,4,8,20,139,mcg/m^3
Beijing,2014,4,8,21,136,mcg/m^3
Beijing,2014,4,8,22,138,mcg/m^3
Beijing,2014,4,8,23,136,mcg/m^3
Beijing,2014,4,9,0,136,mcg/m^3
Beijing,2014,4,9,1,140,mcg/m^3
Beijing,2014,4,9,2,145,mcg/m^3
Beijing,2014,4,9,3,147,mcg/m^3
Beijing,2014,4,9,4,151,mcg/m^3
Beijing,2014,4,9,5,153,mcg/m^3
Beijing,2014,4,9,6,196,mcg/m^3
Beijing,2014,4,9,7,182,mcg/m^3
Beijing,2014,4,9,8,162,mcg/m^3
Beijing,2014,4,9,9,164,mcg/m^3
Beijing,2014,4,9,10,133,mcg/m^3
Beijing,2014,4,9,11,62,mcg/m^3
Beijing,2014,4,9,12,60,mcg/m^3
Beijing,2014,4,9,13,49,mcg/m^3
Beijing,2014,4,9,14,62,mcg/m^3
Beijing,2014,4,9,15,56,mcg/m^3
Beijing,2014,4,9,16,65,mcg/m^3
Beijing,2014,4,9,17,73,mcg/m^3
Beijing,2014,4,9,18,80,mcg/m^3
Beijing,2014,4,9,19,580,mcg/m^3
Beijing,2014,4,9,20,217,mcg/m^3
Beijing,2014,4,9,21,159,mcg/m^3
Beijing,2014,4,9,22,181,mcg/m^3
Beijing,2014,4,9,23,165,mcg/m^3
Beijing,2014,4,10,0,175,mcg/m^3
Beijing,2014,4,10,1,112,mcg/m^3
Beijing,2014,4,10,2,101,mcg/m^3
Beijing,2014,4,10,3,111,mcg/m^3
Beijing,2014,4,10,4,102,mcg/m^3
Beijing,2014,4,10,5,106,mcg/m^3
Beijing,2014,4,10,6,95,mcg/m^3
Beijing,2014,4,10,7,101,mcg/m^3
Beijing,2014,4,10,8,88,mcg/m^3
Beijing,2014,4,10,9,125,mcg/m^3
Beijing,2014,4,10,10,93,mcg/m^3
Beijing,2014,4,10,11,71,mcg/m^3
Beijing,2014,4,10,12,74,mcg/m^3
Beijing,2014,4,10,13,68,mcg/m^3
Beijing,2014,4,10,14,-999,mcg/m^3
Beijing,2014,4,10,15,51,mcg/m^3
Beijing,2014,4,10,16,62,mcg/m^3
Beijing,2014,4,10,17,64,mcg/m^3
Beijing,2014,4,10,18,66,mcg/m^3
Beijing,2014,4,10,19,63,mcg/m^3
Beijing,2014,4,10,20,65,mcg/m^3
Beijing,2014,4,10,21,72,mcg/m^3
Beijing,2014,4,10,22,67,mcg/m^3
Beijing,2014,4,10,23,51,mcg/m^3
Beijing,2014,4,11,0,67,mcg/m^3
Beijing,2014,4,11,1,64,mcg/m^3
Beijing,2014,4,11,2,71,mcg/m^3
Beijing,2014,4,11,3,76,mcg/m^3
Beijing,2014,4,11,4,69,mcg/m^3
Beijing,2014,4,11,5,69,mcg/m^3
Beijing,2014,4,11,6,76,mcg/m^3
Beijing,2014,4,11,7,48,mcg/m^3
Beijing,2014,4,11,8,46,mcg/m^3
Beijing,2014,4,11,9,47,mcg/m^3
Beijing,2014,4,11,10,41,mcg/m^3
Beijing,2014,4,11,11,40,mcg/m^3
Beijing,2014,4,11,12,43,mcg/m^3
Beijing,2014,4,11,13,36,mcg/m^3
Beijing,2014,4,11,14,41,mcg/m^3
Beijing,2014,4,11,15,39,mcg/m^3
